ID,type,capacity,speed,consumption,maxBattery,depot
1,1,15,25.0,0.552,69.0,1
2,1,15,25.0,0.552,69.0,1
3,2,22,25.0,0.8280000000000001,103.5,2
4,1,15,25.0,0.552,69.0,2
5,2,22,25.0,0.8280000000000001,103.5,1
6,1,15,25.0,0.552,69.0,2
7,2,22,25.0,0.8280000000000001,103.5,2
8,1,15,25.0,0.552,69.0,1
9,2,22,25.0,0.8280000000000001,103.5,2
10,1,15,25.0,0.552,69.0,1
11,1,15,25.0,0.552,69.0,2
12,2,22,25.0,0.8280000000000001,103.5,2
13,1,15,25.0,0.552,69.0,2
14,2,22,25.0,0.8280000000000001,103.5,2
15,2,22,25.0,0.8280000000000001,103.5,2
