x_o,y_o,x_d,y_d,ear_dep_time,late_dep_time,ear_arr_time,late_arr_time,isinbound,direct_ridetime
3.44,-3.69,-6.02,-6.23,30.79,45.79,0.0,0.0,1.0,23.51
4.76,-2.64,3.49,2.5,19.02,34.02,0.0,0.0,1.0,12.69
1.12,-5.77,6.46,-6.34,44.46,59.46,0.0,0.0,1.0,12.89
-5.4,-1.0,-3.79,6.29,30.51,45.51,0.0,0.0,1.0,17.9
0.76,5.07,-4.06,-2.69,32.16,47.16,0.0,0.0,1.0,21.93
4.29,-3.4,0.2,4.13,23.47,38.47,0.0,0.0,1.0,20.59
-3.18,-1.96,-4.37,4.35,8.52,23.52,0.0,0.0,1.0,15.42
-2.78,1.56,5.36,-0.07,4.8,19.8,0.0,0.0,1.0,19.92
0.26,-0.42,5.34,-6.34,21.73,36.73,0.0,0.0,1.0,18.71
6.56,-1.82,-3.1,4.38,9.77,24.77,0.0,0.0,1.0,27.55
2.11,3.24,-5.07,5.34,33.83,48.83,0.0,0.0,1.0,17.94
-3.97,-4.3,-1.3,0.78,47.87,62.87,0.0,0.0,1.0,13.77
6.33,6.42,2.84,-5.28,21.37,36.37,0.0,0.0,1.0,29.31
3.61,-2.54,3.29,0.71,52.48,67.48,0.0,0.0,1.0,7.84
-0.59,2.16,6.9,-3.94,31.28,46.28,0.0,0.0,1.0,23.2
-5.77,-5.95,5.59,-5.88,12.56,27.56,0.0,0.0,1.0,27.26
-6.22,-2.0,0.12,6.0,11.12,26.12,0.0,0.0,1.0,24.51
0.19,3.81,-6.2,4.75,16.05,31.05,0.0,0.0,1.0,15.5
3.78,4.36,-2.84,6.55,32.04,47.04,0.0,0.0,1.0,16.74
4.03,1.93,-1.5,-4.17,6.57,21.57,0.0,0.0,1.0,19.74
6.58,0.03,3.95,-6.62,30.81,45.81,0.0,0.0,1.0,17.17
