x_o,y_o,x_d,y_d,ear_dep_time,late_dep_time,ear_arr_time,late_arr_time,isinbound,direct_ridetime
-0.75,3.75,-0.78,6.51,30.94,45.94,0.0,0.0,1.0,6.63
1.25,-5.16,-1.17,-5.98,55.89,70.89,0.0,0.0,1.0,6.15
6.58,4.99,3.05,3.85,51.47,66.47,0.0,0.0,1.0,8.91
-1.33,-2.62,4.56,-5.45,19.44,34.44,0.0,0.0,1.0,15.68
-4.72,0.15,-4.14,-6.28,51.39,66.39,0.0,0.0,1.0,15.5
6.26,-5.62,-6.61,1.35,15.38,30.38,0.0,0.0,1.0,35.13
0.49,5.02,2.87,-1.28,44.01,59.01,0.0,0.0,1.0,16.17
-1.79,2.04,-0.78,-0.21,55.01,70.01,0.0,0.0,1.0,5.92
2.22,-4.52,6.03,4.05,38.09,53.09,0.0,0.0,1.0,22.51
6.7,-0.89,-3.29,-4.39,16.25,31.25,0.0,0.0,1.0,25.41
6.57,3.53,5.4,-3.15,7.75,22.75,0.0,0.0,1.0,16.28
-1.8,-1.81,-4.52,-5.99,56.27,71.27,0.0,0.0,1.0,11.95
-4.0,-6.0,-1.07,2.98,15.43,30.43,0.0,0.0,1.0,22.66
-1.8,-0.51,1.49,-5.02,4.5,19.5,0.0,0.0,1.0,13.4
4.01,-2.37,5.68,0.92,16.04,31.04,0.0,0.0,1.0,8.84
2.41,-6.14,0.7,6.11,26.09,41.09,0.0,0.0,1.0,29.69
-6.04,1.58,4.35,5.57,17.91,32.91,0.0,0.0,1.0,26.7
-2.88,0.8,-2.65,6.32,17.14,32.14,0.0,0.0,1.0,13.26
-0.09,-4.12,-2.2,-0.74,11.35,26.35,0.0,0.0,1.0,9.57
3.9,-1.8,-6.65,-4.2,9.22,24.22,0.0,0.0,1.0,25.97
1.93,-6.46,-0.74,4.63,22.15,37.15,0.0,0.0,1.0,27.38
-2.26,-3.67,-5.33,-1.01,35.44,50.44,0.0,0.0,1.0,9.74
-4.16,1.9,-4.1,-4.49,51.5,66.5,0.0,0.0,1.0,15.34
-5.07,-4.75,-3.26,1.63,30.4,45.4,0.0,0.0,1.0,15.92
-2.16,1.18,6.21,-4.42,22.37,37.37,0.0,0.0,1.0,24.16
4.46,3.72,-1.58,3.03,0.0,0.0,54.2,69.2,0.0,14.58
-1.61,-3.2,6.98,-3.58,0.0,0.0,39.22,54.22,0.0,20.64
6.85,-6.67,4.99,2.45,0.0,0.0,65.75,80.75,0.0,22.33
-2.75,6.69,5.52,-6.24,0.0,0.0,63.45,78.45,0.0,36.84
-5.97,-0.02,4.0,0.47,0.0,0.0,48.73,63.73,0.0,23.96
1.27,-6.07,5.88,-3.13,0.0,0.0,23.02,38.02,0.0,13.12
-4.17,6.83,-0.38,3.0,0.0,0.0,47.99,62.99,0.0,12.94
1.59,-6.74,-3.59,1.33,0.0,0.0,85.34,100.34,0.0,23.03
0.5,3.75,0.62,1.61,0.0,0.0,42.72,57.72,0.0,5.14
3.24,4.07,4.37,1.35,0.0,0.0,86.93,101.93,0.0,7.07
-0.39,-5.89,-5.24,5.15,0.0,0.0,46.89,61.89,0.0,28.92
5.67,0.36,4.98,6.57,0.0,0.0,85.22,100.22,0.0,14.99
-5.5,-4.37,3.91,-4.95,0.0,0.0,41.58,56.58,0.0,22.63
3.38,3.7,5.77,5.75,0.0,0.0,42.79,57.79,0.0,7.54
-4.14,-2.15,4.38,-1.56,0.0,0.0,48.59,63.59,0.0,20.5
4.19,-3.86,-1.22,0.47,0.0,0.0,64.4,79.4,0.0,16.63
1.66,-2.0,-4.68,-5.9,0.0,0.0,43.72,58.72,0.0,17.87
-2.81,3.71,-2.21,-1.6,0.0,0.0,21.54,36.54,0.0,12.83
6.49,-3.34,-2.49,-1.0,0.0,0.0,80.77,95.77,0.0,22.26
-5.73,1.61,5.66,-6.26,0.0,0.0,84.5,99.5,0.0,33.21
2.17,-4.95,-3.03,-5.95,0.0,0.0,57.93,72.93,0.0,12.71
1.36,1.75,-3.88,1.66,0.0,0.0,43.73,58.73,0.0,12.59
3.33,-3.22,2.68,6.97,0.0,0.0,67.48,82.48,0.0,24.52
1.01,-6.74,-1.96,-4.43,0.0,0.0,22.97,37.97,0.0,9.02
-1.34,-3.23,-3.8,6.38,0.0,0.0,82.09,97.09,0.0,23.81
