x_o,y_o,x_d,y_d,ear_dep_time,late_dep_time,direct_ridetime
0.56,3.4,-2.54,4.72,15.5,30.5,8.08
-6.55,-6.03,3.23,2.8,26.15,41.15,31.62
-6.91,-4.92,0.19,0.56,37.2,52.2,21.53
-6.27,-2.56,-3.71,-1.85,12.9,27.9,6.39
6.95,-1.81,-1.83,6.2,26.56,41.56,28.51
2.29,-6.83,-4.2,3.52,22.85,37.85,29.32
-6.75,-6.9,6.71,-6.61,18.4,33.4,32.31
-3.93,0.29,3.42,-4.54,5.52,20.52,21.1
-5.71,3.96,2.62,0.89,27.28,42.28,21.31
-5.08,-1.55,-5.76,1.71,29.61,44.61,7.98
-6.01,-3.49,-4.46,-6.4,58.73,73.73,7.92
-0.02,3.26,1.77,-5.96,25.5,40.5,22.54
-6.65,-1.45,6.47,4.39,14.12,29.12,34.45
-1.9,0.66,4.0,-0.93,10.64,25.64,14.66
3.19,5.19,-3.08,-1.49,41.87,56.87,21.97
-6.11,3.12,2.36,-3.2,27.94,42.94,25.36
2.57,-5.66,-1.04,-2.71,8.84,23.84,11.17
3.77,6.72,6.16,-0.71,22.38,37.38,18.75
1.22,6.68,-6.68,2.61,42.03,57.03,21.3
5.98,3.16,4.39,-6.28,22.72,37.72,22.98
-0.67,4.37,5.53,3.48,39.17,54.17,15.01
0.82,5.91,-5.03,-2.96,21.64,36.64,25.51
-2.9,4.21,5.63,-5.69,17.55,32.55,31.36
-4.92,1.0,3.4,0.19,15.94,30.94,20.06
3.37,-0.77,-0.41,-6.3,25.76,40.76,16.07
1.48,4.55,3.57,-3.98,3.75,18.75,21.08
-6.62,-1.7,0.05,4.42,18.64,33.64,21.74
-2.11,-5.08,-0.11,-2.32,28.53,43.53,8.18
3.57,-1.98,-1.86,6.33,19.44,34.44,23.81
-0.34,-0.52,-5.31,1.4,15.41,30.41,12.79
-6.35,1.66,0.41,-6.85,8.57,23.57,26.08
1.41,-1.23,-4.29,-3.84,22.06,37.06,15.04
-1.09,3.2,-6.91,-3.62,26.0,41.0,21.52
3.91,-0.19,-3.16,0.36,12.44,27.44,17.0
4.72,0.31,2.24,3.82,50.95,65.95,10.32
-3.2,2.14,1.67,2.19,32.5,47.5,11.69
-2.84,-5.25,4.27,-4.21,24.93,39.93,17.25
-0.04,-0.58,-6.1,1.29,6.32,21.32,15.21
-0.71,2.79,0.87,4.14,53.56,68.56,4.98
-4.88,-6.16,3.34,5.34,24.05,39.05,33.92
-0.79,1.43,0.28,-1.08,22.62,37.62,6.53
-3.9,0.88,-3.59,-3.19,10.88,25.88,9.8
5.18,-3.47,1.41,-0.47,38.42,53.42,11.58
4.14,-4.09,-4.25,-4.24,30.98,45.98,20.13
2.47,-0.36,-1.06,3.64,7.96,22.96,12.81
0.5,3.23,-1.36,-2.31,21.56,36.56,14.04
-5.38,-0.77,-3.69,5.34,50.29,65.29,15.19
-2.98,-0.76,3.08,3.83,16.61,31.61,18.25
-2.96,2.45,-5.7,-4.8,7.83,22.83,18.6
0.2,0.62,1.68,6.34,29.4,44.4,14.19
