Instance,obj_val,cpu(s),No_iter
l2-c10-d2-bt2,490.816647974652,11.772000074386597,280
l2-c11-d2-bt2,502.3747531478363,17.26099991798401,500
l2-c12-d2-bt2,568.1757773320107,14.965999841690063,500
l2-c13-d2-bt2,486.89030890312125,12.614000082015991,500
l2-c14-d2-bt2,611.9208291130674,23.41100001335144,500
l2-c15-d2-bt2,682.7630515213522,24.483999967575077,500
l2-c16-d2-bt2,644.0225409332172,21.6800000667572,500
l2-c17-d2-bt2,818.0274072783631,25.48099994659424,500
l2-c18-d2-bt2,671.4359136498481,16.247999906539917,500
l2-c19-d2-bt2,853.9746600203994,28.14299988746643,500
l2-c20-d2-bt2,814.8515872300052,20.816999912261963,500
l2-c25-d2-bt2,1105.0873740152535,29.21499991416931,247
l2-c30-d2-bt2,1194.4526205366055,115.88499999046326,485
l2-c35-d2-bt2,1534.8915165704557,278.38100004196167,500
l2-c40-d2-bt2,1757.0327515649158,200.55399990081787,500
l2-c45-d2-bt2,1815.601070236092,174.15499997138977,314
l2-c50-d2-bt2,1924.2152505505285,284.5389997959137,398
l2-c55-d2-bt2,2242.895366075788,772.8450000286102,500
l2-c60-d2-bt2,2443.1187958019864,852.1870000362396,500
